gene,drug,approved,interaction_type,interaction_score,sources
TNF,NERELIMOMAB,False,inhibitor,0.5613311672998444,ChEMBL
TNF,CROMOLYN SODIUM,True,unknown,0.5613311672998444,NCI
TNF,PLACULUMAB,False,inhibitor,0.5613311672998444,ChEMBL
TNF,METHYLENE BLUE,False,unknown,0.06237012969998271,DTC
TNF,ALTEPLASE,True,unknown,0.05346011117141375,NCI
TNF,CARBOPLATIN,True,unknown,0.01305421319301963,PharmGKB
TNF,GENTAMICIN,True,unknown,0.04881140585216039,NCI
TNF,GOLIMUMAB,True,inhibitor,2.245324669199378,TTD; TdgClinicalTrial; ChEMBL; TEND
TNF,BUPIVACAINE,True,unknown,0.06603896085880523,NCI
TNF,PENTOXIFYLLINE,True,unknown,0.01603803335142412,TTD
TNF,BENZO[E]PYRENE,False,unknown,0.1871103890999481,DTC
TNF,THALIDOMIDE,True,unknown,0.04551333788917658,TEND; TTD; TdgClinicalTrial
TNF,PYRAZINAMIDE,True,unknown,0.1295379616845794,PharmGKB
TNF,GLIMEPIRIDE,True,unknown,0.1403327918249611,NCI
TNF,OMEPRAZOLE,True,unknown,0.03034222525945105,NCI
TNF,LENERCEPT,False,inhibitor,0.5613311672998444,ChEMBL
TNF,ADALIMUMAB,True,inhibitor,0.06804014149089023,ChEMBL; TTD; TdgClinicalTrial; TEND
TNF,PRAZOSIN HYDROCHLORIDE,True,unknown,0.1122662334599688,NCI
TNF,REMTOLUMAB,False,unknown,0.2806655836499222,TTD
TNF,MIDOSTAURIN,True,unknown,0.03207606670284825,NCI
TNF,LENABASUM,False,unknown,0.1871103890999481,TTD
TNF,MAGNESIUM SULFATE ANHYDROUS,True,unknown,0.2806655836499222,NCI
TNF,PICIBANIL,False,unknown,0.2245324669199377,NCI
TNF,FLUOCINOLONE ACETONIDE,True,unknown,0.2245324669199377,NCI
TNF,MILTEFOSINE,True,unknown,0.1871103890999481,NCI
TNF,HOMIDIUM BROMIDE,False,unknown,0.01935624714827049,DTC
TNF,OZORALIZUMAB,False,inhibitor,1.122662334599689,ChEMBL; TdgClinicalTrial
TNF,PEGSUNERCEPT,False,inhibitor,1.122662334599689,ChEMBL; TTD
TNF,CERTOLIZUMAB PEGOL,True,inhibitor,0.3207606670284825,TdgClinicalTrial; TTD; ChEMBL; TEND
TNF,THERAPEUTIC HORMONE,False,unknown,0.02551505305908383,NCI
TNF,NAFAMOSTAT,False,unknown,0.05103010611816767,TTD
TNF,FOLIC ACID,True,unknown,0.04677759727498704,NCI
TNF,ABBV-257,False,unknown,0.2806655836499222,TTD
TNF,RISPERIDONE,True,unknown,0.02513423137163482,NCI
TNF,COVA322,False,unknown,0.2806655836499222,TTD
TNF,HYDROXYCHLOROQUINE,True,unknown,0.06237012969998271,NCI
TNF,CERTOLIZUMAB,False,unknown,0.5613311672998444,TTD
TNF,AN0128,False,unknown,0.5613311672998444,TTD
TNF,"5,7-DIHYDROXY-4-METHYLCOUMARIN",False,unknown,0.1403327918249611,DTC
TNF,SORAFENIB,True,unknown,0.009762281170432078,PharmGKB
TNF,AFELIMOMAB,False,inhibitor,0.5613311672998444,ChEMBL
TNF,PLACULUMAB,False,unknown,1.122662334599689,TTD; TdgClinicalTrial
TNF,INFLIXIMAB,True,inhibitor,0.07242982803868961,TTD; ChEMBL; TdgClinicalTrial; TEND
TNF,DIDANOSINE,True,unknown,0.08019016675712064,NCI
TNF,ISIS 104838,False,unknown,0.5613311672998444,TdgClinicalTrial
TNF,SOBLIDOTIN,False,unknown,0.06603896085880523,NCI
TNF,SPIRONOLACTONE,True,unknown,0.07016639591248056,NCI
TNF,MEROPENEM ANHYDROUS,True,unknown,1.122662334599689,NCI
TNF,ETHAMBUTOL HYDROCHLORIDE,True,unknown,0.4209983754748833,PharmGKB
TNF,MYCOPHENOLATE MOFETIL,True,unknown,0.07016639591248056,PharmGKB
TNF,MASOPROCOL,True,unknown,0.02388643265105721,NCI
TNF,DERSALAZINE,False,unknown,0.1403327918249611,TdgClinicalTrial
TNF,AVX-470,False,unknown,1.122662334599689,TTD; TdgClinicalTrial
TNF,AME-527,False,unknown,0.5613311672998444,TdgClinicalTrial
TNF,CYCLOSPORINE,True,unknown,0.01290416476551366,PharmGKB
TNF,ONERCEPT,False,inhibitor,0.5613311672998444,ChEMBL
TNF,CYT007-TNFQB,False,unknown,0.5613311672998444,TdgClinicalTrial
TNF,PROPYLTHIOURACIL,True,unknown,0.05613311672998444,NCI
TNF,TIMOLOL MALEATE,True,unknown,0.3742207781998963,NCI
TNF,ABBV-3373,False,binder,0.1871103890999481,ChEMBL
TNF,METHIMAZOLE,True,unknown,0.05346011117141375,NCI
TNF,PF-04236921,False,unknown,0.2806655836499222,TdgClinicalTrial
TNF,LACTULOSE,True,unknown,0.2806655836499222,NCI
TNF,HALOFUGINONE,False,unknown,0.1871103890999481,NCI
TNF,PROTON PUMP INHIBITOR,False,unknown,0.2806655836499222,NCI
TNF,MITOMYCIN C ANALOG KW-2149,False,unknown,1.122662334599689,NCI
TNF,ATORVASTATIN CALCIUM TRIHYDRATE,True,unknown,0.03061806367090061,PharmGKB
TNF,DIGOXIN,True,unknown,0.0165097402147013,DTC
TNF,PROCARBAZINE HYDROCHLORIDE,True,unknown,0.5613311672998444,NCI
TNF,LAPACHONE,False,unknown,0.0431793205615265,NCI
TNF,ORTATAXEL,False,unknown,0.1871103890999481,TTD
TNF,IMMUNOSTIMULANT,False,unknown,1.122662334599689,NCI
TNF,RABEPRAZOLE,True,unknown,0.0431793205615265,NCI
TNF,RIFAMPIN,True,unknown,0.06014262506784048,PharmGKB
TNF,PNEUMOCOCCAL POLYVALENT VACCINE,False,unknown,1.122662334599689,NCI
TNF,CEFOTAXIME SODIUM,True,unknown,0.1122662334599689,NCI
TNF,ETANERCEPT,True,inhibitor,0.086358641123053,ChEMBL; TdgClinicalTrial; TTD; TEND
TNF,AZ9773,False,inhibitor,0.5613311672998444,ChEMBL
TNF,TETRANDRINE,False,unknown,0.3742207781998963,NCI
TNF,REMTOLUMAB,False,inhibitor,0.2806655836499222,ChEMBL
TNF,CELASTROL,False,unknown,0.1122662334599688,TTD
TNF,LENALIDOMIDE,True,inhibitor,0.086358641123053,ClearityFoundationClinicalTrial; TTD
TNF,HUANG LIAN,False,unknown,1.122662334599689,NCI
TNF,ANESTHETIC AGENT,False,unknown,0.1122662334599688,NCI
TNF,STAVUDINE,True,unknown,0.086358641123053,PharmGKB
TNF,CARBAMAZEPINE,True,unknown,0.04582295243264036,PharmGKB; NCI
TNF,AMPHOTERICIN B LIPOSOMAL,True,unknown,0.0431793205615265,DTC
TNF,"INSULIN, REGULAR, HUMAN",True,unknown,0.03177346229999119,NCI
TNF,BACILLUS CALMETTE-GUERIN ANTIGEN,False,unknown,0.09355519454997407,NCI
TNF,RUTIN,True,unknown,0.1122662334599688,NCI
TNF,VITAMIN B6,True,unknown,0.1871103890999481,NCI
TNF,MIDAZOLAM HYDROCHLORIDE,True,unknown,0.03118506484999135,NCI
TNF,GEMCITABINE,True,unknown,0.01220285146304009,PharmGKB
CDKN2A,RIBOCICLIB,True,unknown,0.5178948269730707,ClearityFoundationBiomarkers; CKB-CORE; OncoKB
CDKN2A,PACLITAXEL,True,unknown,0.03389857049278282,CKB-CORE
CDKN2A,ULIXERTINIB,False,unknown,0.3728842754206109,CKB-CORE
CDKN2A,ALVOCIDIB,False,unknown,0.1775639406764813,CKB-CORE
CDKN2A,PF-04691502,False,unknown,0.3107368961838424,CKB-CORE
CDKN2A,ILORASERTIB,False,unknown,0.0160725980784746,CGI
CDKN2A,VEMURAFENIB,True,unknown,0.2015590677949248,CIViC; CKB-CORE
CDKN2A,RONICICLIB,False,unknown,0.06658647775368053,ClearityFoundationBiomarkers
CDKN2A,CETUXIMAB,True,unknown,0.1007795338974624,CKB-CORE
CDKN2A,SAPANISERTIB,True,unknown,0.1621235980089612,CKB-CORE
CDKN2A,TEMOZOLOMIDE,True,unknown,0.1775639406764813,CKB-CORE
CDKN2A,PF-00477736,False,unknown,0.9322106885515273,CKB-CORE
CDKN2A,HMN-214,False,unknown,1.864421377103054,CKB-CORE
CDKN2A,MILCICLIB,False,unknown,0.3389857049278281,CKB-CORE
CDKN2A,POLO-LIKE KINASE 1 INHIBITOR GSK461364,False,unknown,1.864421377103054,CKB-CORE
CDKN2A,COBIMETINIB,True,unknown,0.1962548818003215,CKB-CORE
CDKN2A,GEMCITABINE,True,unknown,0.04053089950224032,CKB-CORE
CDKN2A,PANITUMUMAB,True,unknown,0.09322106885515273,CIViC
CDKN2A,BUPARLISIB,False,unknown,0.1491537101682443,CKB-CORE
