rank,gene,degree,hub_score,degree_centrality,betweenness_centrality,pagerank
1,PPARG,37,0.8520057870359405,0.7708333333333333,0.047872340425531915,0.037220223998684084
2,INS,38,0.7662337662337663,0.7916666666666666,0.004432624113475177,0.04617170423355209
3,SIRT1,29,0.6741630644708725,0.6041666666666666,0.04565602836879432,0.02854835913504679
4,TNF,25,0.6671732313289996,0.5208333333333333,0.061170212765957445,0.025346924188922024
5,IRS1,31,0.651742314400774,0.6458333333333333,0.022163120567375887,0.032029697513050445
6,TCF7L2,27,0.6410355550932396,0.5625,0.04831560283687943,0.027583205619460607
7,GCK,26,0.6205762441611344,0.5416666666666666,0.043882978723404256,0.026476658081884333
8,FOXO1,30,0.5960961961164505,0.625,0.010638297872340425,0.03288566238789962
9,IL6,24,0.57172571472959,0.5,0.03723404255319149,0.025500768302892073
10,CDKN2A,24,0.5696958769115051,0.5,0.044326241134751775,0.022778915304163164
11,INSR,22,0.5391787484399022,0.4583333333333333,0.0425531914893617,0.021218723468857406
12,GLP1R,24,0.5208091235309614,0.5,0.030141843971631204,0.022395657653056067
13,NOTCH2,17,0.5150353828228182,0.35416666666666663,0.06826241134751773,0.015439725800382838
14,KCNJ11,23,0.5064351108832331,0.47916666666666663,0.028368794326241134,0.025076241088218258
15,LEP,23,0.4729438972574934,0.47916666666666663,0.010638297872340425,0.02620221414395444
