gene_a,gene_b,score
INS,SIRT1,0.91
INS,RETN,0.886
INS,GCK,0.945
INS,PIK3CA,0.585
INS,CDKAL1,0.583
INS,HHEX,0.643
INS,PPARG,0.944
INS,NEUROD1,0.878
INS,INSR,0.999
INS,IRS1,0.999
INS,RPTOR,0.764
INS,LEP,0.985
INS,HNF4A,0.648
INS,SLC2A4,0.977
INS,SLC5A2,0.885
INS,LEPR,0.886
INS,FOXO3,0.879
INS,KCNJ11,0.874
INS,PRKAA1,0.599
INS,DPP4,0.906
INS,MTOR,0.882
INS,GLP1R,0.903
INS,IRS2,0.998
INS,FOXO1,0.944
INS,PDX1,0.966
INS,AKT2,0.846
INS,IGF2BP2,0.472
INS,HNF1B,0.517
INS,CDKN2A,0.584
INS,TCF7L2,0.666
INS,GCGR,0.795
INS,HNF1A,0.871
INS,PPARA,0.898
INS,ABCC8,0.909
INS,SLC30A8,0.912
INS,TNF,0.926
INS,IL6,0.933
INS,ADIPOQ,0.961
INSR,SIRT1,0.468
INSR,RETN,0.596
INSR,GCK,0.702
INSR,PIK3CA,0.947
INSR,PPARG,0.555
INSR,RPTOR,0.418
INSR,KCNJ11,0.447
INSR,PRKAA1,0.459
INSR,ABCC8,0.466
INSR,PRKAA2,0.469
INSR,LEPR,0.493
INSR,FOXO3,0.506
INSR,GLP1R,0.508
INSR,PPARA,0.524
INSR,ADIPOQ,0.525
INSR,MTOR,0.532
INSR,FOXO1,0.743
INSR,LEP,0.744
INSR,SLC2A4,0.813
INSR,IRS1,0.999
INSR,IRS2,0.999
IRS1,SIRT1,0.823
IRS1,RETN,0.6
IRS1,GCK,0.735
IRS1,PIK3CA,0.999
IRS1,CDKAL1,0.507
IRS1,PPARG,0.726
IRS1,ABCC8,0.401
IRS1,CDKN2A,0.408
IRS1,PDX1,0.44
IRS1,SLC30A8,0.445
IRS1,DPP4,0.464
IRS1,GLP1R,0.475
IRS1,KCNJ11,0.51
IRS1,HNF4A,0.526
IRS1,TCF7L2,0.585
IRS1,FOXO3,0.629
IRS1,TNF,0.647
IRS1,IGF2BP2,0.651
IRS1,PPARA,0.663
IRS1,IL6,0.704
IRS1,ADIPOQ,0.734
IRS1,LEPR,0.782
IRS1,AKT2,0.825
IRS1,FOXO1,0.854
IRS1,RPTOR,0.855
IRS1,SLC2A4,0.94
IRS1,LEP,0.963
IRS1,MTOR,0.992
IRS1,IRS2,0.997
IRS2,SIRT1,0.786
IRS2,RETN,0.447
IRS2,GCK,0.762
IRS2,PIK3CA,0.984
IRS2,PPARG,0.595
IRS2,RPTOR,0.583
IRS2,LEP,0.891
IRS2,SLC2A4,0.812
IRS2,LEPR,0.819
IRS2,FOXO3,0.681
IRS2,MTOR,0.966
IRS2,GLP1R,0.474
IRS2,TNF,0.447
IRS2,PDX1,0.52
IRS2,IL6,0.54
IRS2,PPARA,0.568
IRS2,ADIPOQ,0.601
IRS2,AKT2,0.689
IRS2,FOXO1,0.825
PIK3CA,SIRT1,0.48
PIK3CA,NOTCH2,0.498
PIK3CA,IL6,0.442
PIK3CA,CDKN2B,0.507
PIK3CA,RPTOR,0.541
PIK3CA,PPARG,0.547
PIK3CA,FOXO3,0.617
PIK3CA,FOXO1,0.726
PIK3CA,CDKN2A,0.791
PIK3CA,MTOR,0.963
PIK3CA,AKT2,0.984
AKT2,SIRT1,0.526
AKT2,PPARG,0.691
AKT2,RPTOR,0.976
AKT2,SLC2A4,0.805
AKT2,FOXO3,0.98
AKT2,MTOR,0.967
AKT2,FOXO1,0.986
AKT2,IL6,0.406
AKT2,ADIPOQ,0.407
AKT2,TNF,0.429
AKT2,CDKN2A,0.465
SLC2A4,SIRT1,0.616
SLC2A4,RETN,0.666
SLC2A4,GCK,0.669
SLC2A4,PPARG,0.934
SLC2A4,LEP,0.839
