stringId_A,stringId_B,preferredName_A,preferredName_B,ncbiTaxonId,score,nscore,fscore,pscore,ascore,escore,dscore,tscore
9606.ENSP00000212015,9606.ENSP00000330393,SIRT1,LEPR,9606,0.404,0.0,0.0,0,0.049,0.0,0.0,0.399
9606.ENSP00000212015,9606.ENSP00000353731,SIRT1,DPP4,9606,0.413,0.0,0.0,0,0.0,0.0,0.0,0.413
9606.ENSP00000212015,9606.ENSP00000276925,SIRT1,CDKN2B,9606,0.424,0.0,0.0,0,0.0,0.093,0.0,0.391
9606.ENSP00000212015,9606.ENSP00000362353,SIRT1,GLP1R,9606,0.426,0.0,0.0,0,0.0,0.0,0.0,0.426
9606.ENSP00000212015,9606.ENSP00000327943,SIRT1,SLC5A2,9606,0.437,0.044,0.0,0,0.0,0.0,0.0,0.435
9606.ENSP00000212015,9606.ENSP00000303830,SIRT1,INSR,9606,0.468,0.0,0.0,0,0.042,0.0,0.0,0.467
9606.ENSP00000212015,9606.ENSP00000263967,SIRT1,PIK3CA,9606,0.48,0.0,0.0,0,0.21,0.0,0.0,0.368
9606.ENSP00000212015,9606.ENSP00000375892,SIRT1,AKT2,9606,0.526,0.0,0.0,0,0.0,0.042,0.0,0.526
9606.ENSP00000212015,9606.ENSP00000360290,SIRT1,PRKAA2,9606,0.528,0.0,0.0,0,0.0,0.045,0.0,0.526
9606.ENSP00000212015,9606.ENSP00000295108,SIRT1,NEUROD1,9606,0.531,0.0,0.0,0,0.051,0.078,0.0,0.508
9606.ENSP00000212015,9606.ENSP00000438804,SIRT1,HNF1A,9606,0.544,0.0,0.0,0,0.0,0.301,0.0,0.374
9606.ENSP00000212015,9606.ENSP00000346148,SIRT1,PRKAA1,9606,0.553,0.0,0.0,0,0.06,0.045,0.0,0.542
9606.ENSP00000212015,9606.ENSP00000223366,SIRT1,GCK,9606,0.594,0.0,0.011,0,0.0,0.096,0.0,0.57
9606.ENSP00000212015,9606.ENSP00000418915,SIRT1,CDKN2A,9606,0.616,0.0,0.0,0,0.0,0.093,0.0,0.594
9606.ENSP00000212015,9606.ENSP00000320935,SIRT1,SLC2A4,9606,0.616,0.0,0.0,0,0.055,0.0,0.0,0.61
9606.ENSP00000212015,9606.ENSP00000312652,SIRT1,LEP,9606,0.624,0.0,0.0,0,0.0,0.0,0.0,0.624
9606.ENSP00000212015,9606.ENSP00000307272,SIRT1,RPTOR,9606,0.655,0.0,0.0,0,0.049,0.292,0.0,0.529
9606.ENSP00000212015,9606.ENSP00000312987,SIRT1,HNF4A,9606,0.691,0.0,0.0,0,0.0,0.446,0.0,0.466
9606.ENSP00000212015,9606.ENSP00000398698,SIRT1,TNF,9606,0.706,0.0,0.0,0,0.0,0.0,0.0,0.706
9606.ENSP00000212015,9606.ENSP00000385675,SIRT1,IL6,9606,0.726,0.0,0.0,0,0.0,0.0,0.0,0.726
9606.ENSP00000212015,9606.ENSP00000365016,SIRT1,IRS2,9606,0.786,0.0,0.0,0,0.076,0.537,0.0,0.539
9606.ENSP00000212015,9606.ENSP00000304895,SIRT1,IRS1,9606,0.823,0.0,0.0,0,0.055,0.537,0.0,0.629
9606.ENSP00000212015,9606.ENSP00000389814,SIRT1,ADIPOQ,9606,0.862,0.0,0.0,0,0.0,0.0,0.0,0.862
9606.ENSP00000212015,9606.ENSP00000385523,SIRT1,PPARA,9606,0.906,0.0,0.0,0,0.0,0.345,0.0,0.862
9606.ENSP00000212015,9606.ENSP00000380432,SIRT1,INS,9606,0.91,0.0,0.0,0,0.0,0.0,0.0,0.91
9606.ENSP00000212015,9606.ENSP00000354558,SIRT1,MTOR,9606,0.937,0.0,0.0,0,0.074,0.526,0.0,0.867
9606.ENSP00000212015,9606.ENSP00000287820,SIRT1,PPARG,9606,0.998,0.0,0.0,0,0.0,0.345,0.9,0.981
9606.ENSP00000212015,9606.ENSP00000339527,SIRT1,FOXO3,9606,0.999,0.0,0.0,0,0.06,0.774,0.9,0.964
9606.ENSP00000212015,9606.ENSP00000368880,SIRT1,FOXO1,9606,0.999,0.0,0.0,0,0.109,0.816,0.9,0.984
9606.ENSP00000221515,9606.ENSP00000353731,RETN,DPP4,9606,0.403,0.0,0.0,0,0.0,0.0,0.0,0.403
9606.ENSP00000221515,9606.ENSP00000365016,RETN,IRS2,9606,0.447,0.0,0.0,0,0.042,0.0,0.0,0.446
9606.ENSP00000221515,9606.ENSP00000385523,RETN,PPARA,9606,0.572,0.0,0.0,0,0.0,0.0,0.0,0.572
9606.ENSP00000221515,9606.ENSP00000303830,RETN,INSR,9606,0.596,0.0,0.0,0,0.0,0.0,0.0,0.596
9606.ENSP00000221515,9606.ENSP00000304895,RETN,IRS1,9606,0.6,0.0,0.0,0,0.0,0.0,0.0,0.6
9606.ENSP00000221515,9606.ENSP00000330393,RETN,LEPR,9606,0.606,0.0,0.0,0,0.0,0.0,0.0,0.606
9606.ENSP00000221515,9606.ENSP00000320935,RETN,SLC2A4,9606,0.666,0.0,0.0,0,0.086,0.0,0.0,0.649
9606.ENSP00000221515,9606.ENSP00000385675,RETN,IL6,9606,0.809,0.0,0.0,0,0.044,0.0,0.0,0.809
9606.ENSP00000221515,9606.ENSP00000368880,RETN,FOXO1,9606,0.825,0.0,0.0,0,0.0,0.0,0.75,0.329
9606.ENSP00000221515,9606.ENSP00000398698,RETN,TNF,9606,0.857,0.0,0.0,0,0.166,0.0,0.0,0.835
9606.ENSP00000221515,9606.ENSP00000287820,RETN,PPARG,9606,0.858,0.0,0.0,0,0.044,0.0,0.0,0.858
9606.ENSP00000221515,9606.ENSP00000380432,RETN,INS,9606,0.886,0.0,0.0,0,0.094,0.0,0.0,0.879
9606.ENSP00000221515,9606.ENSP00000312652,RETN,LEP,9606,0.932,0.0,0.0,0,0.143,0.0,0.0,0.924
9606.ENSP00000221515,9606.ENSP00000389814,RETN,ADIPOQ,9606,0.967,0.0,0.0,0,0.378,0.0,0.0,0.949
9606.ENSP00000223366,9606.ENSP00000274695,GCK,CDKAL1,9606,0.405,0.0,0.0,0,0.0,0.0,0.0,0.405
9606.ENSP00000223366,9606.ENSP00000353731,GCK,DPP4,9606,0.431,0.0,0.0,0,0.0,0.0,0.0,0.431
9606.ENSP00000223366,9606.ENSP00000383558,GCK,GCGR,9606,0.443,0.0,0.0,0,0.049,0.0,0.0,0.438
9606.ENSP00000223366,9606.ENSP00000486891,GCK,TCF7L2,9606,0.447,0.0,0.0,0,0.0,0.0,0.0,0.447
9606.ENSP00000223366,9606.ENSP00000330393,GCK,LEPR,9606,0.451,0.0,0.0,0,0.0,0.0,0.0,0.451
9606.ENSP00000223366,9606.ENSP00000389814,GCK,ADIPOQ,9606,0.476,0.0,0.0,0,0.0,0.0,0.0,0.476
9606.ENSP00000223366,9606.ENSP00000415011,GCK,SLC30A8,9606,0.523,0.0,0.0,0,0.047,0.0,0.0,0.52
9606.ENSP00000223366,9606.ENSP00000307272,GCK,RPTOR,9606,0.523,0.0,0.0,0,0.0,0.0,0.0,0.523
9606.ENSP00000223366,9606.ENSP00000362353,GCK,GLP1R,9606,0.562,0.0,0.0,0,0.082,0.0,0.0,0.543
9606.ENSP00000223366,9606.ENSP00000385523,GCK,PPARA,9606,0.578,0.0,0.0,0,0.0,0.046,0.0,0.575
9606.ENSP00000223366,9606.ENSP00000287820,GCK,PPARG,9606,0.582,0.0,0.0,0,0.0,0.046,0.0,0.579
9606.ENSP00000223366,9606.ENSP00000312652,GCK,LEP,9606,0.595,0.0,0.0,0,0.0,0.085,0.0,0.576
9606.ENSP00000223366,9606.ENSP00000320935,GCK,SLC2A4,9606,0.669,0.0,0.0,0,0.074,0.0,0.0,0.657
9606.ENSP00000223366,9606.ENSP00000303830,GCK,INSR,9606,0.702,0.0,0.0,0,0.0,0.045,0.0,0.701
9606.ENSP00000223366,9606.ENSP00000304895,GCK,IRS1,9606,0.735,0.0,0.0,0,0.0,0.0,0.0,0.735
9606.ENSP00000223366,9606.ENSP00000312987,GCK,HNF4A,9606,0.739,0.0,0.0,0,0.053,0.0,0.0,0.735
9606.ENSP00000223366,9606.ENSP00000480291,GCK,HNF1B,9606,0.759,0.0,0.0,0,0.057,0.0,0.0,0.755
9606.ENSP00000223366,9606.ENSP00000365016,GCK,IRS2,9606,0.762,0.0,0.0,0,0.0,0.0,0.0,0.762
9606.ENSP00000223366,9606.ENSP00000368880,GCK,FOXO1,9606,0.765,0.0,0.0,0,0.0,0.0,0.5,0.55
9606.ENSP00000223366,9606.ENSP00000345708,GCK,KCNJ11,9606,0.899,0.0,0.0,0,0.042,0.0,0.0,0.899
9606.ENSP00000223366,9606.ENSP00000438804,GCK,HNF1A,9606,0.901,0.0,0.0,0,0.076,0.0,0.0,0.898
9606.ENSP00000223366,9606.ENSP00000295108,GCK,NEUROD1,9606,0.93,0.0,0.0,0,0.055,0.0,0.75,0.73
9606.ENSP00000223366,9606.ENSP00000380432,GCK,INS,9606,0.945,0.0,0.0,0,0.05,0.0,0.0,0.945
9606.ENSP00000223366,9606.ENSP00000494321,GCK,ABCC8,9606,0.949,0.0,0.004,0,0.117,0.054,0.0,0.944
9606.ENSP00000223366,9606.ENSP00000370421,GCK,PDX1,9606,0.965,0.0,0.0,0,0.044,0.0,0.75,0.868
9606.ENSP00000256646,9606.ENSP00000276925,NOTCH2,CDKN2B,9606,0.401,0.0,0.0,0,0.064,0.098,0.0,0.348
9606.ENSP00000256646,9606.ENSP00000345708,NOTCH2,KCNJ11,9606,0.417,0.0,0.0,0,0.055,0.0,0.0,0.409
9606.ENSP00000256646,9606.ENSP00000385675,NOTCH2,IL6,9606,0.419,0.0,0.0,0,0.055,0.0,0.0,0.41
9606.ENSP00000256646,9606.ENSP00000398698,NOTCH2,TNF,9606,0.429,0.0,0.0,0,0.101,0.071,0.0,0.371
9606.ENSP00000256646,9606.ENSP00000480291,NOTCH2,HNF1B,9606,0.433,0.0,0.0,0,0.0,0.045,0.0,0.431
9606.ENSP00000256646,9606.ENSP00000410242,NOTCH2,IGF2BP2,9606,0.448,0.0,0.0,0,0.0,0.068,0.0,0.432
9606.ENSP00000256646,9606.ENSP00000415011,NOTCH2,SLC30A8,9606,0.449,0.0,0.0,0,0.0,0.046,0.0,0.447
9606.ENSP00000256646,9606.ENSP00000486891,NOTCH2,TCF7L2,9606,0.478,0.0,0.0,0,0.055,0.051,0.0,0.464
9606.ENSP00000256646,9606.ENSP00000263967,NOTCH2,PIK3CA,9606,0.498,0.0,0.0,0,0.049,0.072,0.0,0.477
9606.ENSP00000256646,9606.ENSP00000282728,NOTCH2,HHEX,9606,0.503,0.0,0.0,0,0.067,0.041,0.0,0.488
9606.ENSP00000256646,9606.ENSP00000377003,NOTCH2,TSPAN8,9606,0.508,0.0,0.0,0,0.0,0.0,0.0,0.508
9606.ENSP00000256646,9606.ENSP00000274695,NOTCH2,CDKAL1,9606,0.512,0.0,0.0,0,0.0,0.0,0.0,0.512
9606.ENSP00000256646,9606.ENSP00000478874,NOTCH2,CAMK1D,9606,0.532,0.0,0.0,0,0.071,0.105,0.0,0.482
9606.ENSP00000256646,9606.ENSP00000418915,NOTCH2,CDKN2A,9606,0.56,0.0,0.0,0,0.064,0.098,0.0,0.521
9606.ENSP00000256646,9606.ENSP00000283928,NOTCH2,JAZF1,9606,0.581,0.0,0.0,0,0.064,0.0,0.0,0.571
9606.ENSP00000256646,9606.ENSP00000418735,NOTCH2,ADAMTS9,9606,0.587,0.0,0.0,0,0.061,0.175,0.0,0.509
9606.ENSP00000256646,9606.ENSP00000281141,NOTCH2,CDC123,9606,0.588,0.0,0.0,0,0.056,0.0,0.0,0.582
9606.ENSP00000263967,9606.ENSP00000385675,PIK3CA,IL6,9606,0.442,0.0,0.0,0,0.0,0.0,0.0,0.442
9606.ENSP00000263967,9606.ENSP00000276925,PIK3CA,CDKN2B,9606,0.507,0.0,0.0,0,0.0,0.0,0.0,0.507
9606.ENSP00000263967,9606.ENSP00000307272,PIK3CA,RPTOR,9606,0.541,0.0,0.0,0,0.049,0.0,0.0,0.537
9606.ENSP00000263967,9606.ENSP00000287820,PIK3CA,PPARG,9606,0.547,0.0,0.0,0,0.053,0.0,0.0,0.542
9606.ENSP00000263967,9606.ENSP00000380432,PIK3CA,INS,9606,0.585,0.0,0.0,0,0.0,0.0,0.0,0.585
9606.ENSP00000263967,9606.ENSP00000339527,PIK3CA,FOXO3,9606,0.617,0.0,0.0,0,0.107,0.184,0.0,0.517
9606.ENSP00000263967,9606.ENSP00000368880,PIK3CA,FOXO1,9606,0.726,0.0,0.0,0,0.067,0.184,0.0,0.669
9606.ENSP00000263967,9606.ENSP00000418915,PIK3CA,CDKN2A,9606,0.791,0.0,0.0,0,0.0,0.0,0.0,0.791
9606.ENSP00000263967,9606.ENSP00000303830,PIK3CA,INSR,9606,0.947,0.0,0.0,0,0.0,0.098,0.9,0.462
9606.ENSP00000263967,9606.ENSP00000354558,PIK3CA,MTOR,9606,0.963,0.0,0.0,0,0.06,0.166,0.9,0.592
9606.ENSP00000263967,9606.ENSP00000375892,PIK3CA,AKT2,9606,0.984,0.0,0.0,0,0.042,0.098,0.9,0.841
9606.ENSP00000263967,9606.ENSP00000365016,PIK3CA,IRS2,9606,0.984,0.0,0.0,0,0.07,0.557,0.9,0.67
9606.ENSP00000263967,9606.ENSP00000304895,PIK3CA,IRS1,9606,0.999,0.0,0.0,0,0.069,0.849,0.9,0.952
9606.ENSP00000274695,9606.ENSP00000385995,CDKAL1,THADA,9606,0.443,0.0,0.0,0,0.147,0.0,0.0,0.374
9606.ENSP00000274695,9606.ENSP00000494321,CDKAL1,ABCC8,9606,0.478,0.0,0.0,0,0.066,0.0,0.0,0.464
9606.ENSP00000274695,9606.ENSP00000304895,CDKAL1,IRS1,9606,0.507,0.0,0.0,0,0.0,0.0,0.0,0.507
9606.ENSP00000274695,9606.ENSP00000380432,CDKAL1,INS,9606,0.583,0.0,0.0,0,0.0,0.0,0.0,0.583
9606.ENSP00000274695,9606.ENSP00000287820,CDKAL1,PPARG,9606,0.593,0.0,0.0,0,0.0,0.0,0.0,0.593
9606.ENSP00000274695,9606.ENSP00000418915,CDKAL1,CDKN2A,9606,0.653,0.0,0.0,0,0.042,0.0,0.0,0.653
9606.ENSP00000274695,9606.ENSP00000478874,CDKAL1,CAMK1D,9606,0.669,0.0,0.0,0,0.0,0.0,0.0,0.669
9606.ENSP00000274695,9606.ENSP00000480291,CDKAL1,HNF1B,9606,0.706,0.0,0.0,0,0.0,0.0,0.0,0.706
9606.ENSP00000274695,9606.ENSP00000276925,CDKAL1,CDKN2B,9606,0.712,0.0,0.0,0,0.0,0.0,0.0,0.712
9606.ENSP00000274695,9606.ENSP00000283928,CDKAL1,JAZF1,9606,0.762,0.0,0.0,0,0.0,0.0,0.0,0.762
9606.ENSP00000274695,9606.ENSP00000377003,CDKAL1,TSPAN8,9606,0.782,0.0,0.0,0,0.0,0.0,0.0,0.782
9606.ENSP00000274695,9606.ENSP00000281141,CDKAL1,CDC123,9606,0.782,0.0,0.0,0,0.049,0.0,0.0,0.78
9606.ENSP00000274695,9606.ENSP00000418735,CDKAL1,ADAMTS9,9606,0.783,0.0,0.0,0,0.0,0.0,0.0,0.783
9606.ENSP00000274695,9606.ENSP00000345708,CDKAL1,KCNJ11,9606,0.857,0.0,0.0,0,0.0,0.0,0.0,0.857
9606.ENSP00000274695,9606.ENSP00000486891,CDKAL1,TCF7L2,9606,0.884,0.0,0.0,0,0.0,0.0,0.0,0.884
9606.ENSP00000274695,9606.ENSP00000410242,CDKAL1,IGF2BP2,9606,0.898,0.0,0.0,0,0.044,0.0,0.0,0.898
9606.ENSP00000274695,9606.ENSP00000282728,CDKAL1,HHEX,9606,0.925,0.0,0.0,0,0.0,0.0,0.0,0.925
